date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:36	229/229	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Aug%202016%2008:19:36%20GMT	http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.23.delayed	(from )
17:19:36	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.25.delayed	(from )
17:19:36	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.27.delayed	(from )
17:19:36	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.29.delayed	(from )
17:19:36	67003/67003	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:35%20GMT	http://www.tao2korea.com/mall/m_page.php?ps_pname=page_use	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_pagec897.html	(from )
17:19:37	75456/75456	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:36%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=01000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_list3ed2.html	(from )
17:19:37	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.2f.delayed	(from )
17:19:37	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.31.delayed	(from )
17:19:37	73504/73504	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:36%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=02000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_list4b82.html	(from )
17:19:37	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.34.delayed	(from )
17:19:37	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.36.delayed	(from )
17:19:37	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.38.delayed	(from )
17:19:37	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.3a.delayed	(from )
17:19:38	64893/64893	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:37%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=03000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_list30b6.html	(from )
17:19:38	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.3d.delayed	(from )
17:19:38	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.3f.delayed	(from )
17:19:38	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.41.delayed	(from )
17:19:38	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.43.delayed	(from )
17:19:38	0/0	---M--	404	error ('')			http://www.tao2korea.com/mall/skin/basic/image/R_icon_02.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/skin/basic/image/R_icon_02.45.delayed	(from )
17:19:38	57729/57729	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:37%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=13000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_list693f.html	(from )
17:19:39	74209/74209	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:37%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=04000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_list0103.html	(from )
17:19:39	74280/74280	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:38%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=05000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_list3ec0.html	(from )
17:19:39	75557/75557	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:38%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=06000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_list519b.html	(from )
17:19:40	73017/73017	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:38%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=07000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_list04e0.html	(from )
17:19:40	67978/67978	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:39%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=08000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_list16ae.html	(from )
17:19:41	60186/60186	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:39%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=09000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_list89a1.html	(from )
17:19:41	73175/73175	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:40%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=10000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_listf4ae.html	(from )
17:19:41	73/73	---M--	200	added ('OK')	image/gif	etag:%22460323-49-4d98bbd0%22	http://www.tao2korea.com/mall/image/bt_close.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/image/bt_close.gif	(from )
17:19:41	73293/73293	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:40%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=11000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_listcd2b.html	(from )
17:19:42	54151/54151	---MC-	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202016%2008:19:41%20GMT	http://www.tao2korea.com/mall/m_mall_list.php?ps_ctid=12000000	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/m_mall_listb583.html	(from )
17:19:42	988/988	---M--	200	added ('OK')	image/gif	etag:%22460322-3dc-4d98bb68%22	http://www.tao2korea.com/mall/image/bt_popup_todayclose.gif	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/image/bt_popup_todayclose.gif	(from )
17:19:42	10640/10640	---M--	200	added ('OK')	image/jpeg	etag:%22308c001-2990-56d705b3%22	http://www.tao2korea.com/mall/board_data/cc4.jpg	C:/My%20Web%20Sites/test/www.tao2korea.com/mall/board_data/cc4.jpg	(from )
